source,target,weight
сэм,фродо,57
бильбо,фродо,44
гэндальф,фродо,33
пин,сэм,31
кольцо,фродо,28
мерри,пин,28
мерри,сэм,21
пин,фродо,19
мерри,фродо,19
враг,кольцо,17
бильбо,кольцо,16
бильбо,горлум,15
арагорн,фродо,14
фродо,хоббитании,13
гэндальфа,фродо,11
фродо,фродо,11
бильбо,хоббитании,10
бильбо,гэндальф,10
бродяжник,фродо,10
боромир,фродо,10
фродо,чёрный всадник,9
фродо,элронд,8
арагорн,боромир,8
гимли,фродо,8
бильбо,бильбо,7
враг,кольца,7
гэндальф,сэм,7
гимли,леголас,7
боромира,фродо,7
гэндальф,кольцо,6
бильбо,пин,6
враг,мордор,6
кольцо,том,6
бродяжник,мерри,6
фродо,элронда,6
гэндальф,элронд,6
арагорн,леголас,6
арагорн,гэндальф,6
гэндальф,мории,6
галадриэль,фродо,6
глаз,фродо,6
бильбо,мерри,5
гэндальфу,фродо,5
гэндальф,ты,5
арагорн,горлума,5
ничто,фродо,5
бильбо,враг,5
фродо,хоббитанию,5
золотинка,том,5
бродяжника,фродо,5
враг,враг,5
арагорна,фродо,5
гэндальф,магический жезл,5
арагорн,сэм,5
фродо,хранитель,5
леголас,мерри,5
гэндальф,хранитель,5
горлум,горлум,4
бильбо,горлума,4
дрого,фродо,4
гэндальф,хоббитании,4
булкинсы,торбинсы,4
кролы,торбинсы,4
барсуксы,торбинсы,4
булкинсы,кролы,4
булкинсы,толстобрюхлы,4
барсуксы,булкинсы,4
булкинсы,дудстоны,4
брендизайки,кролы,4
барсуксы,кролы,4
дудстоны,толстобрюхлы,4
гэндальф,мочь,4
кольцо,кольцо,4
горлум,кольцо,4
кольцо,кольцо всевластья,4
гаральд,фродо,4
всадник,фродо,4
бирюк,фродо,4
сэм,сэм,4
том,фродо,4
том,тракт,4
пина,сэм,4
мерри,пина,4
горислав,элронда,4
совет,элронд,4
кольцо всевластья,саурон,4
арагорн,араторна,4
фродо,хранитель кольца,4
завеса тьмы,средиземьем,4
кольцо,хранитель,4
андуина,бесноватый,4
арагорн,мерри,4
леголас,пин,4
гимли,гэндальф,4
арагорн,морию,4
тёрн,фродо,4
совет,элронда,4
владыка,мордор,3
море,средиземья,3
сэм,хоббитании,3
бильбо,гэндальфа,3
брендизайки,торбинсы,3
ройлы,торбинсы,3
ейлы,торбинсы,3
пойлы,торбинсы,3
глубокопы,торбинсы,3
бобберы,торбинсы,3
толстобрюхлы,торбинсы,3
дороднинги,торбинсы,3
дудстоны,торбинсы,3
торбинсы,шерстопалы,3
брендизайки,булкинсы,3
булкинсы,ройлы,3
булкинсы,ейлы,3
булкинсы,пойлы,3
булкинсы,глубокопы,3
бобберы,булкинсы,3
булкинсы,дороднинги,3
булкинсы,шерстопалы,3
кролы,ройлы,3
бильбо,кролы,3
ейлы,кролы,3
кролы,пойлы,3
глубокопы,кролы,3
бобберы,кролы,3
кролы,толстобрюхлы,3
дороднинги,кролы,3
дудстоны,кролы,3
кролы,шерстопалы,3
брендизайки,ройлы,3
брендизайки,ейлы,3
брендизайки,пойлы,3
брендизайки,глубокопы,3
бобберы,брендизайки,3
брендизайки,толстобрюхлы,3
барсуксы,брендизайки,3
брендизайки,дороднинги,3
брендизайки,дудстоны,3
брендизайки,шерстопалы,3
ейлы,ройлы,3
пойлы,ройлы,3
глубокопы,ройлы,3
бобберы,ройлы,3
ройлы,толстобрюхлы,3
барсуксы,ройлы,3
дороднинги,ройлы,3
дудстоны,ройлы,3
ройлы,шерстопалы,3
ейлы,пойлы,3
глубокопы,ейлы,3
бобберы,ейлы,3
ейлы,толстобрюхлы,3
барсуксы,ейлы,3
дороднинги,ейлы,3
дудстоны,ейлы,3
ейлы,шерстопалы,3
глубокопы,пойлы,3
бобберы,пойлы,3
пойлы,толстобрюхлы,3
барсуксы,пойлы,3
дороднинги,пойлы,3
дудстоны,пойлы,3
пойлы,шерстопалы,3
бобберы,глубокопы,3
глубокопы,толстобрюхлы,3
барсуксы,глубокопы,3
глубокопы,дороднинги,3
глубокопы,дудстоны,3
глубокопы,шерстопалы,3
бобберы,толстобрюхлы,3
барсуксы,бобберы,3
бобберы,дороднинги,3
бобберы,дудстоны,3
бобберы,шерстопалы,3
барсуксы,толстобрюхлы,3
дороднинги,толстобрюхлы,3
толстобрюхлы,шерстопалы,3
барсуксы,дороднинги,3
барсуксы,дудстоны,3
барсуксы,шерстопалы,3
дороднинги,дудстоны,3
дороднинги,шерстопалы,3
дудстоны,шерстопалы,3
кольцо,хоббитании,3
нет,фродо,3
кольцо,мудрые,3
бильбо,магические колец,3
бильбо,магический,3
гэндальф,кольца,3
гил-гэлад,элендил,3
ирисной низина,исилдур,3
горлум,фродо,3
горлума,лихолесье,3
куда,фродо,3
сэму,фродо,3
нет,сэм,3
забрендии,хоббитании,3
восток,запад,3
том,том,3
всадник,пригорье,3
мордор,сэм,3
враг,саурон,3
переправа,фродо,3
горислав,фродо,3
враг,хоббитании,3
арагорн,горислав,3
горислав,гэндальф,3
раздол,хоббитании,3
бильбо,раздол,3
арагорн,элронд,3
гэндальф,совет,3
совет,фродо,3
гимли,глоина,3
раздол,элронда,3
враг,раздол,3
раздол,элронд,3
огненный гора,саурон,3
гил-гэлада,элендила,3
враг,гил-гэлада,3
исилдур,кольцо,3
исилдур,исилдура,3
мудрых,саруман,3
арагорн,гэндальфа,3
кольцо,элронд,3
радагаст,саруман,3
боромир,враг,3
горислав,кольцо,3
враг,горислав,3
враг,гондор,3
мордор,фродо,3
гэндальф,да,3
арагорн,гэндальфом,3
билл,сэм,3
арагорн,отряд,3
бильбо,хоббитанию,3
гэндальф,жезл,3
леголаса,фродо,3
арагорн,гимли,3
арагорном,боромир,3
боромир,леголас,3
арагорна,мерри,3
враг,мории,3
леголас,фродо,3
гэндальф,западный ворота,3
арагорн,боромиром,3
ворот,фродо,3
ворота,гэндальф,3
балин,морию,3
леголас,нимродэль,3
хранитель,хэлдар,3
владычица,сэм,3
владычица,фродо,3
зеркало,фродо,3
глаз,зеркала,3
глаз,глаз,3
глаз,хранитель кольца,3
владычица лориэна,фродо,3
андуин,фродо,3
