source,target,weight
мартин,руфь,106
мартин,руфи,45
джо,мартин,38
бриссенден,мартин,31
мария,мартин,30
мартин,мартин,28
бриссендена,мартин,21
мартин,руфью,12
мартин,морз,11
мартин,норман,11
мартин,спенсер,10
мартин,масляный рожа,10
мартин,морзов,9
мартин,ольнэй,9
лиззи,мартин,9
артур,норман,8
мартин,сан-франциско,8
артур,мартин,7
морз,руфь,7
бриссендену,мартин,7
запоздалый,мартин,7
гертруду,мартин,6
мартин,окленд,6
гертруда,мартин,6
ольнэй,руфь,6
морз,руфи,6
крейз,мартин,6
блоунт,мартин,6
артур,руфь,5
норман,руфь,5
герберт спенсер,мартин,5
мария,мария,5
мартин,мэриен,5
мартин,форд,5
крейз,нортон,5
мартин,мартин иден,4
броунинга,мартин,4
броунинга,суинберна,4
джим,мартин,4
мартин идена,руфи,4
барильо,тетралани,4
мартин,морзам,4
колдуэлла,мартин,4
бернард хиггинботам,мартин,4
герман шмидт,мартин,4
мартин,нортон,4
гамильтон,нортон,4
гамильтон,крейз,4
мартин,оклендский,3
морзов,руфи,3
герберт спенсер,непознаваемый,3
руфи,руфь,3
колдуэлл,мартин,3
бриссендена,эфемерида,3
парфенон,эфемерида,3
джон вэлью,эфемерида,3
ко,синглтри,3
дарнлей,ко,3
джимми,мартин,3
лиззи конолли,мартин,3
